method,outcome,subset,threshold_c,mae,bias
variogram,A_new344,high,12.75,0.0030813067888183616,-0.00039535470106744183
variogram,A_new344,high,13.0,0.0032710859069215565,-0.00045066102251270485
variogram,A_new344,high,13.25,0.0035106516297847964,-0.00038795894404070443
variogram,A_new344,high,13.5,0.003665756041043195,-0.00030314023738955883
variogram,A_new344,high,13.75,0.004213575821738042,-0.00012461845992028705
variogram,A_new344,high,14.0,0.004601435781664723,0.0003237265789193557
variogram,A_new344,high,14.25,0.004964148923335875,0.0003293707204823737
variogram,A_new344,high,14.5,0.005454536727800271,0.0004474551219804303
variogram,A_new344,high,14.75,0.005859059436877905,0.00029795194053197215
variogram,A_new344,high,15.0,0.005914127063277027,0.00029053014515887206
variogram,A_new344,high,15.25,0.006261848850650722,0.00030460633257797364
variogram,A_new344,high,15.5,0.00689138887731591,0.00014559018140174383
variogram,A_new344,high,15.75,0.007416830861684264,0.0001544989546636228
variogram,A_new344,high,16.0,0.00739275783835934,-0.00016321728370300866
variogram,A_new344,high,16.25,0.007744341897190679,-0.0002494986211103443
variogram,A_new344,high,16.5,0.007976492757336508,-0.0006942668156249758
variogram,A_new344,high,16.75,0.00816706975796554,-0.0005742946267637107
variogram,A_new344,high,17.0,0.008689766096459172,-0.0007979125756320852
